CourseNum, SectionID, ClassType, Section, Day, Time, Building, Room, StudentsNumber
CGS-180, 876867, LE, A00, TuTh, 3:30p-4:50p, CENTR, 222, 12
ETHN-100A, 877904, LE, A00, TuTh, 11:00a-12:20p, SEQUO, 148, 34
MGT-45, 876321, LE, A00, TuTh, 11:00a-12:20p, WFH, 1N108, 129
MGT-45, 876322, LE, B00, TuTh, 3:30p-4:50p, WFH, 1N108, 137
PHIL-209A, 881001, SE, A00, Tu, 9:30a-12:20p, HSS, 3027, 0
ECE-230A, 879983, LE, A00, TuTh, 11:00a-12:20p, EBU1, 2315, 60
PHIL-209C, 881002, SE, A00, M, 4:00p-6:50p, HSS, 3027, 1
SIO-90, 876005, SE, A00, W, 1:00p-1:50p, PETER, 103, 70
CSE-218, 882404, LE, A00, TuTh, 2:00p-3:20p, EBU3B, 2154, 27
POLI-122, 881624, LE, A00, TuTh, 5:00p-6:20p, HSS, 1330, 107
CAT-125, , LE, A00, MW, 1:00p-1:50p, MANDE, B-210, 136
CAT-125, 876951, DI, A01, MW, 9:00a-9:50a, HSS, 2305B, 14
CAT-125, 876952, DI, A02, MW, 10:00a-10:50a, HSS, 2305B, 14
CAT-125, 876953, DI, A03, MW, 11:00a-11:50a, APM, 2301, 14
CAT-125, 876954, DI, A04, MW, 12:00p-12:50p, APM, 2301, 16
CAT-125, 876955, DI, A05, MW, 2:00p-2:50p, HSS, 2305B, 16
CAT-125, 876956, DI, A06, MW, 3:00p-3:50p, HSS, 2305B, 15
CAT-125, 876957, DI, A07, MW, 4:00p-4:50p, HSS, 2305B, 16
CAT-125, 876958, DI, A08, MW, 5:00p-5:50p, HSS, 2305A, 15
CAT-125, 876960, DI, A10, MW, 7:00p-7:50p, HSS, 2305A, 13
CAT-125, , LE, B00, Tu, 5:00p-6:50p, CENTR, 115, 136
CAT-125, 876962, DI, B01, TuTh, 8:00a-8:50a, YORK, 3050B, 14
CAT-125, 876963, DI, B02, TuTh, 9:00a-9:50a, YORK, 3050B, 14
CAT-125, 876966, DI, B05, TuTh, 1:00p-1:50p, CENTR, 204, 15
CAT-125, 876967, DI, B06, TuTh, 2:00p-2:50p, CENTR, 201, 16
CAT-125, 876968, DI, B07, TuTh, 3:00p-3:50p, YORK, 3050B, 15
CAT-125, 876969, DI, B08, TuTh, 4:00p-4:50p, YORK, 3050B, 16
CAT-125, 876970, DI, B09, TuTh, 7:00p-7:50p, YORK, 3050B, 13
CAT-125, 876971, DI, B10, TuTh, 8:00p-8:50p, YORK, 3050B, 12
CAT-125, 876972, DI, B11, TuTh, 7:00p-7:50p, YORK, 4050B, 12
CAT-125, 876973, DI, B12, TuTh, 8:00p-8:50p, YORK, 4050B, 13
CAT-124, , SE, A00, W, 3:00p-4:50p, PCYNH, 261, 0
CAT-124, , SE, C00, F, 12:00p-1:50p, PCYNH, 240, 0
HUM-200, 874095, SE, A00, Th, 9:00a-11:50a, GH, 174, 26
MATS-251A, 874178, LE, A00, MW, 9:00a-10:20a, EBU2, 105, 26
RELI-150, 873889, LE, A00, MWF, 11:00a-11:50a, CSB, 004, 53
EDS-240A, 877046, LE, A00, W, 9:00a-11:50a, PCYNH, 348, 4
INTL-190H, 883343, SE, A00, F, 9:00a-11:50a, RBC, 1401, 11
FPM-278, 888348, LE, A00, M, 8:00a-12:00p, MTF, 175, 0
MGT-4, 876316, LE, A00, MW, 6:00p-7:20p, CENTR, 101, 10
MGT-5, 876317, LE, A00, TuTh, 9:30a-10:50a, WFH, 1N108, 187
MGT-5, 876318, LE, B00, Th, 5:00p-7:50p, PCYNH, 106, 107
MATH-269, 880570, SE, A00, Tu, 4:00p-5:50p, APM, 7421, 5
CSE-166, , LE, A00, MW, 6:30p-7:50p, CENTR, 105, 70
CSE-166, 882388, DI, A01, F, 12:00p-12:50p, CSB, 002, 70
CSE-167, 882389, LE, A00, TuTh, 2:00p-3:20p, CENTR, 216, 77
CSE-167, , LA, A01, M, 3:00p-3:50p, PETER, 104, 38
CSE-167, , LA, A02, F, 2:00p-2:50p, EBU3B, B260, 38
ECON-120B, , LE, A00, MWF, 8:00a-8:50a, PCYNH, 109, 138
ECON-120B, 878861, DI, A01, F, 4:00p-4:50p, CENTR, 113, 64
ECON-120B, 878862, DI, A02, F, 5:00p-5:50p, CENTR, 113, 30
ECON-120B, , LE, B00, MWF, 9:00a-9:50a, PCYNH, 109, 138
