CourseNum,SectionID,ClassType,Section,Day,Time,Building,Room,StudentsNumber
HIEA-131,918163,LE,A00,MWF,12:00p-12:50p,WLH,2207,43
HUM-200,907140,SE,A00,Th,9:00a-11:50a,GH,174,23
ETHN-100A,909511,LE,A00,TuTh,12:30p-1:50p,MANDE,B-104,35
MGT-45,908190,LE,A00,TuTh,11:00a-12:20p,WFH,1N108,120
MGT-45,908191,LE,B00,TuTh,2:00p-3:20p,WFH,1N108,106
PHIL-209A,910282,SE,A00,Tu,9:30a-12:20p,HSS,3027,1
ECE-230A,915446,LE,A00,TuTh,11:00a-12:20p,EBU1,2315,59
MATH-183,,LE,A00,MWF,12:00p-12:50p,CENTR,115,196
MATH-183,917069,DI,A01,Th,4:00p-4:50p,APM,B402A,33
MATH-183,917070,DI,A02,Th,5:00p-5:50p,APM,B402A,33
MATH-183,917071,DI,A03,Th,12:00p-12:50p,APM,5402,33
MATH-183,917072,DI,A04,Th,1:00p-1:50p,APM,2402,33
MATH-183,917073,DI,A05,Th,6:00p-6:50p,APM,B402A,32
MATH-183,917074,DI,A06,Th,7:00p-7:50p,APM,B402A,32
SIO-90,907912,SE,A00,W,1:00p-1:50p,ECKRT,227,59
CSE-218,915237,LE,A00,TuTh,2:00p-3:20p,EBU3B,2154,23
LTWR-115,907395,SE,A00,MW,2:00p-3:20p,LIT,455,17
CHEM-43A,,LE,A00,Th,6:30p-7:20p,PETER,108,0
CHEM-43A,918021,LA,A01,MW,10:00a-12:50p,YORK,3108,0
CHEM-43A,918022,LA,A02,MW,10:00a-12:50p,YORK,3208,0
CHEM-43A,918023,LA,A03,MW,10:00a-12:50p,YORK,3224,0
CHEM-43A,918025,LA,A04,MW,10:00a-12:50p,YORK,4208,0
CHEM-43A,918026,LA,A05,MW,1:10p-4:00p,YORK,3108,0
CHEM-43A,918027,LA,A06,MW,1:10p-4:00p,YORK,3208,0
CHEM-43A,918028,LA,A07,MW,1:10p-4:00p,YORK,3224,0
CHEM-43A,918029,LA,A08,MW,1:10p-4:00p,YORK,4208,0
