CourseNum,SectionID,ClassType,Section,Day,Time,Building,Room,StudentsNumber
LIGM-5B,910050,LE,A00,MTuWThF,9:00a-12:20p,HSS,2333B,7
LIGM-5C,910052,LE,A00,MTuWThF,9:00a-12:20p,HSS,2333B,8
SIO-295LS,910083,LA,A00,MTuWThF,1:00p-4:00p,HUBBS,3300,23
LIGM-5A,910048,LE,A00,MTuWThF,9:00a-12:20p,HSS,2333B,10
EDS-385,910292,LE,A00,MWF,5:00p-8:20p,PCYNH,304,15
MGT-439,910073,LE,A00,F,8:00a-11:00a,WFH,3N128,0
MGT-439,918831,LE,B00,Th,6:30p-9:30p,OTRSN,3E109,0
MGTA-495,919062,LE,A00,MW,3:30p-6:30p,WFH,4N128,16
MGT-491,910066,LE,A00,MTh,6:30p-9:30p,OTRSN,1E106,0
EDS-250,910006,SE,A00,MWF,1:00p-3:50p,PCYNH,340,32
SIOC-290S,,LE,A00,MTuWThF,9:00a-10:50a,NIERN,101,12
SIOC-290S,910086,DI,A01,MTuWThF,11:00a-11:50a,NIERN,101,12
EDS-204,,SE,A00,MW,9:00a-11:50a,PCYNH,440,0
EDS-204,,SE,B00,MW,1:00p-3:50p,PCYNH,440,0
MGTA-454B,919061,SE,A00,M,10:00a-11:30a,WFH,4N128,42
EDS-206,910004,SE,A00,TuTh,9:00a-11:50a,PCYNH,340,36
EDS-206,910005,SE,B00,TuTh,1:00p-3:50p,PCYNH,340,36
EDS-201,909997,SE,A00,MWF,9:00a-11:50a,PCYNH,340,32
EDS-203,,SE,A00,TuTh,9:00a-12:50p,PCYNH,440,0
EDS-125,909992,LE,A00,MW,2:00p-4:50p,PCYNH,120,30
CENG-101A,909968,LE,A00,MTuWTh,11:00a-11:50a,WLH,2204,29
LISP-5D,910060,LE,A00,MTuWThF,9:00a-12:20p,MCGIL,2315,19
LISP-5A,910054,LE,A00,MTuWThF,9:00a-12:20p,HSS,1128B,13
LISP-5C,910058,LE,A00,MTuWThF,9:00a-12:20p,APM,2301,22
LISP-5B,910056,LE,A00,MTuWThF,9:00a-12:20p,APM,2301,22
MGTF-412,918835,LE,A00,S,12:30p-6:30p,OTRSN,1E106,0
MGT-452,910074,LE,A00,F,12:30p-6:30p,OTRSN,1E106,0
SOMI-220,910094,LE,A00,MTuWThF,8:00a-12:00p,PSB,1160,0
MGT-417,910069,LE,A00,S,12:30p-6:30p,OTRSN,1E107,0
MGT-459,910065,LE,A00,S,8:00a-11:00a,OTRSN,1E106,0
EDS-128B,,LE,A00,TuTh,2:00p-4:50p,PCYNH,304,0
EDS-128A,,LE,A00,TuTh,2:00p-4:50p,PCYNH,304,0
SOCI-117,,LE,A00,TuTh,5:00p-7:50p,PCYNH,340,0
EDS-115,909989,LE,A00,MW,2:00p-4:50p,PCYNH,340,18
EDS-117,,LE,A00,TuTh,5:00p-7:50p,PCYNH,340,0
SIOC-291S,,LE,A00,MTuWThF,1:00p-2:50p,ECKRT,227,12
SIOC-291S,910089,DI,A01,MTuWThF,3:10p-4:00p,ECKRT,227,12
SIO-295S,910084,SE,A00,MTuWThF,9:00a-12:00p,HUBBS,4500,23
MGT-489,910077,LE,A00,W,6:30p-9:30p,OTRSN,1E106,0
EDS-374,,LE,A00,MW,9:00a-1:20p,PCYNH,304,0
MGT-414A,910079,LE,A00,Th,6:30p-9:30p,OTRSN,1E107,0
MGT-421,910070,LE,A00,Tu,6:30p-9:30p,OTRSN,1E106,0
MGT-426,910062,LE,A00,Tu,6:30p-9:30p,OTRSN,1E107,0
EDS-372,,LE,A00,TuTh,1:00p-5:20p,PCYNH,448,0
EDS-373,,LE,A00,MW,9:00a-1:20p,PCYNH,302,0
ECE-45,,LE,A00,MW,3:30p-4:50p,PCYNH,122,17
ECE-45,909988,DI,A01,Th,4:00p-5:50p,PCYNH,121,17
MGT-429,910071,LE,A00,M,6:30p-9:30p,OTRSN,1E107,0
MGT-429,910072,LE,B00,W,6:30p-9:30p,OTRSN,1E107,0
EDS-375,,LE,A00,MW,9:00a-1:20p,PCYNH,340,0
MGTF-490,910080,LE,A00,Th,10:00a-1:00p,WFH,4N128,48
MGTF-490,918836,LE,B00,W,10:00a-1:00p,WFH,4N128,45
PSYC-116,,LE,A00,W,2:00p-2:50p,MNDLR,1539,0
WES-237B,910096,LE,A00,S,9:00a-4:30p,EBU3B,4140,22
