CourseNum, SectionID, ClassType, Section, Day, Time, Building, Room, StudentsNumber
MGT-45, 906208, LE, A00, TuTh, 11:00a-12:20p, WFH, 1N108, 134
MGT-45, 906209, LE, B00, TuTh, 3:30p-4:50p, WFH, 1N108, 111
CAT-125, , LE, A00, MW, 1:00p-1:50p, PCYNH, 109, 157
CAT-125, 897177, DI, A01, MW, 8:00a-8:50a, CENTR, 204, 15
CAT-125, 897178, DI, A02, MW, 9:00a-9:50a, CENTR, 204, 14
CAT-125, 897179, DI, A03, MW, 4:00p-4:50p, CENTR, 204, 13
CAT-125, 897180, DI, A04, MW, 5:00p-5:50p, CENTR, 204, 16
CAT-125, 897181, DI, A05, MW, 6:00p-6:50p, CENTR, 204, 15
CAT-125, 897182, DI, A06, MW, 7:00p-7:50p, CENTR, 204, 14
CAT-125, 897183, DI, A07, MW, 2:00p-2:50p, CENTR, 206, 16
CAT-125, 897184, DI, A08, MW, 6:00p-6:50p, CENTR, 206, 14
CAT-125, 897185, DI, A09, MW, 7:00p-7:50p, CENTR, 206, 15
CAT-125, 897186, DI, A10, MW, 8:00a-8:50a, HSS, 1106B, 12
CAT-125, 897187, DI, A11, MW, 5:00p-5:50p, HSS, 1106B, 14
CAT-125, 897188, DI, A12, MW, 6:00p-6:50p, HSS, 1106B, 14
CAT-125, , LE, B00, Tu, 5:00p-6:50p, YORK, 2722, 157
CAT-125, 897190, DI, B01, TuTh, 8:00a-8:50a, CENTR, 204, 15
CAT-125, 897191, DI, B02, TuTh, 9:00a-9:50a, CENTR, 204, 16
CAT-125, 897192, DI, B03, TuTh, 10:00a-10:50a, CENTR, 204, 13
CAT-125, 897193, DI, B04, TuTh, 10:00a-10:50a, CENTR, 206, 14
CAT-125, 897194, DI, B05, TuTh, 11:00a-11:50a, CENTR, 206, 13
CAT-125, 897195, DI, B06, TuTh, 2:00p-2:50p, CENTR, 206, 14
CAT-125, 897196, DI, B07, TuTh, 3:00p-3:50p, CENTR, 206, 12
CAT-125, 897197, DI, B08, TuTh, 4:00p-4:50p, CENTR, 206, 14
CAT-125, 897198, DI, B09, TuTh, 7:00p-7:50p, CENTR, 206, 17
CAT-125, 897199, DI, B10, TuTh, 8:00p-8:50p, CENTR, 206, 14
CAT-124, , SE, A00, Th, 10:00a-11:50a, SME, 306, 0
HIEU-171, 906092, SE, A00, Th, 3:00p-5:50p, HSS, 6008, 5
MATH-269, 898536, SE, A00, Tu, 4:00p-5:50p, APM, 7421, 4
ANAR-124, 906157, LE, A00, MWF, 1:00p-1:50p, WLH, 2113, 14
BENG-182, , LE, A00, TuTh, 8:00a-9:20a, CSB, 002, 42
BENG-182, 903597, DI, A01, M, 4:00p-4:50p, CSB, 001, 42
MGT-453, 906480, LE, A00, S, 10:30a-5:30p, OTRSN, 1E107, 0
MGT-103, 901923, LE, A00, W, 2:00p-4:50p, OTRSN, 1S113, 56
MGT-103, 901924, LE, B00, MW, 8:00a-9:20a, OTRSN, 1S114, 46
MGT-103, 901925, LE, C00, MW, 9:30a-10:50a, OTRSN, 1S114, 75
MGT-103, 901926, LE, D00, TuTh, 8:00a-9:20a, OTRSN, 1S114, 67
MGT-103, 906210, LE, E00, MW, 2:00p-3:20p, WFH, 1W102, 122
MGT-103, 906211, LE, F00, W, 5:00p-7:50p, OTRSN, 1S113, 25
MGT-103, 906212, LE, G00, TuTh, 2:00p-3:20p, OTRSN, 1S114, 67
MGT-103, 906213, LE, H00, TuTh, 3:30p-4:50p, OTRSN, 1S114, 47
MGT-450, 906478, LE, A00, M, 2:00p-5:00p, WFH, 3N129, 0
MGT-450, 906479, LE, B00, M, 6:30p-9:30p, OTRSN, 1E107, 0
LATI-222C, 888920, SE, A00, TuTh, 9:30a-10:50a, ERCA, 115, 2
LTSP-2E, 896582, LE, A00, MWF, 12:00p-12:50p, LIT, 255, 20
LTSP-2C, 896581, LE, A00, MWF, 11:00a-11:50a, CENTR, 203, 23
LTSP-2C, 906144, LE, B00, MWF, 1:00p-1:50p, WLH, 2110, 20
LTSP-2A, , LE, A00, MWF, 11:00a-11:50a, WLH, 2110, 21
LTSP-2A, 896578, DI, A01, Tu, 11:00a-11:50a, LIT, 455, 20
LTSP-2A, , LE, B00, MWF, 12:00p-12:50p, WLH, 2110, 21
LTSP-2A, 896580, DI, B01, Tu, 12:00p-12:50p, LIT, 455, 23
CHEM-114C, , LE, A00, MWF, 11:00a-11:50a, YORK, 2622, 187
CHEM-114C, 899608, DI, A01, M, 6:00p-6:50p, SEQUO, 147, 39
CHEM-114C, 899609, DI, A02, M, 7:00p-7:50p, SEQUO, 147, 37
CHEM-114C, 899610, DI, A03, M, 8:00p-8:50p, SEQUO, 147, 32
CHEM-114C, 899611, DI, A04, W, 5:00p-5:50p, SEQUO, 147, 43
CHEM-114C, 899612, DI, A05, W, 6:00p-6:50p, SEQUO, 147, 36
COGS-102A, , LE, A00, TuTh, 3:30p-4:50p, LEDDN, AUD, 131
COGS-102A, 901297, DI, A01, M, 1:00p-1:50p, CENTR, 222, 49
COGS-102A, 901298, DI, A02, W, 12:00p-12:50p, WLH, 2113, 32
COGS-102A, 901299, DI, A03, F, 1:00p-1:50p, CENTR, 222, 39
COGS-102A, 901300, DI, A04, F, 11:00a-11:50a, SEQUO, 148, 11
COGS-102C, , LE, A00, TuTh, 12:30p-1:50p, CSB, 002, 0
LIGM-1CX, 896306, DI, A00, TuTh, 9:30a-10:50a, HSS, 1315, 27
LIGM-1CX, 896307, DI, B00, TuTh, 11:00a-12:20p, HSS, 1315, 29
POLI-100A, 904486, LE, A00, TuTh, 2:00p-3:20p, CENTR, 113, 125
CSE-294, 903806, SE, A00, F, 1:00p-1:50p, EBU3B, 3109, 10
CSE-290, 905821, SE, A00, F, 1:00p-1:50p, EBU3B, 4109, 17
CSE-290, 906080, SE, B00, W, 3:30p-4:50p, EBU3B, 2154, 4
CSE-290, 906117, SE, C00, Tu, 11:30a-12:50p, EBU3B, 4217, 9
CSE-290, 913613, SE, D00, W, 12:00p-12:50p, EBU3B, 3109, 0
CSE-291, 903803, LE, A00, MW, 5:00p-6:20p, SOLIS, 104, 43
CSE-291, 903804, LE, B00, TuTh, 3:30p-4:50p, EBU3B, 2154, 0
CSE-291, 903805, LE, C00, MWF, 3:00p-3:50p, CENTR, 214, 18
CSE-291, 906101, LE, D00, TuTh, 6:30p-7:50p, YORK, 4080A, 27
CSE-291, 906102, LE, E00, TuTh, 6:30p-7:50p, EBU3B, 2154, 8
CSE-291, 906115, LE, F00, TuTh, 6:30p-7:50p, PCYNH, 106, 57
CSE-291, 906237, LE, H00, TuTh, 2:00p-3:20p, EBU1, B538, 0
CSE-291, 906710, LE, I00, TuTh, 8:00a-9:20a, CENTR, 214, 46
CSE-291, 911164, LE, K00, TuTh, 2:00p-3:20p, HSS, 1315, 4
INTL-102, , LE, A00, TuTh, 11:00a-12:20p, RBC, AUD, 161
INTL-102, 904768, DI, A01, M, 9:00a-9:50a, ASANT, 123B, 28
INTL-102, 904769, DI, A02, M, 10:00a-10:50a, ASANT, 123B, 32
INTL-102, 904770, DI, A03, W, 8:00a-8:50a, RBC, 3203, 28
INTL-102, 904771, DI, A04, W, 9:00a-9:50a, ASANT, 123B, 29
INTL-102, 904772, DI, A05, F, 11:00a-11:50a, RBC, 3203, 21
INTL-102, 904773, DI, A06, F, 12:00p-12:50p, RBC, 3203, 23
INTL-101, , LE, A00, MW, 12:30p-1:50p, RBC, AUD, 186
INTL-101, 904761, DI, A01, M, 3:00p-3:50p, ASANT, 123C, 32
INTL-101, 904762, DI, A02, M, 4:00p-4:50p, ASANT, 123C, 32
INTL-101, 904763, DI, A03, Tu, 9:00a-9:50a, ASANT, 123B, 28
INTL-101, 904764, DI, A04, Tu, 12:00p-12:50p, ASANT, 123B, 32
INTL-101, 904765, DI, A05, Th, 2:00p-2:50p, ASANT, 123B, 32
INTL-101, 904766, DI, A06, Th, 3:00p-3:50p, ASANT, 123B, 30
