CourseNum,SectionID,ClassType,Section,Day,Time,Building,Room,StudentsNumber
LISP-1BX,891948,DI,A00,TuTh,12:30p-1:50p,CENTR,207,31
LISP-1BX,891949,DI,B00,TuTh,2:00p-3:20p,CENTR,207,31
LISP-1BX,891950,DI,C00,TuTh,3:30p-4:50p,CENTR,207,31
LISP-1BX,891951,DI,D00,TuTh,5:00p-6:20p,CENTR,207,21
LISP-1BX,902480,DI,E00,TuTh,3:30p-4:50p,HSS,2305A,17
MGT-45,887876,LE,A00,TuTh,11:00a-12:20p,WFH,1N108,175
CAT-125,,LE,A00,MW,2:00p-2:50p,PCYNH,109,109
CAT-125,892068,DI,A02,MW,10:00a-10:50a,MCGIL,2315,12
CAT-125,892069,DI,A03,MW,11:00a-11:50a,MCGIL,2315,12
CAT-125,892070,DI,A04,MW,12:00p-12:50p,MCGIL,2315,15
CAT-125,892071,DI,A05,MW,1:00p-1:50p,MCGIL,2315,13
CAT-125,892072,DI,A06,MW,3:00p-3:50p,CENTR,204,14
CAT-125,892073,DI,A07,MW,4:00p-4:50p,CENTR,204,14
CAT-125,892074,DI,A08,MW,5:00p-5:50p,CENTR,204,15
CAT-125,892075,DI,A09,MW,6:00p-6:50p,CENTR,204,8
CAT-125,,LE,B00,Tu,5:00p-6:50p,CENTR,212,109
CAT-125,895645,DI,B02,TuTh,9:00a-9:50a,CENTR,206,10
CAT-125,895646,DI,B03,TuTh,10:00a-10:50a,CENTR,206,16
CAT-125,895647,DI,B04,TuTh,11:00a-11:50a,CENTR,206,16
CAT-125,895648,DI,B05,TuTh,12:00p-12:50p,CENTR,206,14
CAT-125,895649,DI,B06,TuTh,1:00p-1:50p,CENTR,206,15
CAT-125,895650,DI,B07,TuTh,4:00p-4:50p,CENTR,206,15
CAT-125,895653,DI,B10,TuTh,11:00a-11:50a,MANDE,B-146,16
CAT-125,895654,DI,B11,TuTh,12:00p-12:50p,MANDE,B-146,14
MATS-251B,887918,LE,A00,TuTh,2:00p-3:20p,WLH,2205,16
HIEU-171,891449,SE,A00,W,3:00p-5:50p,HSS,3086,9
HIEU-172,891598,SE,A00,Tu,12:00p-2:50p,HSS,6008,8
MATH-269,893347,SE,A00,Tu,4:00p-5:50p,APM,7421,5
MGT-105,897933,LE,A00,MW,2:00p-3:30p,WFH,1W102,116
MGT-106,897934,LE,A00,TuTh,8:00a-9:20a,OTRSN,1S114,61
MGT-103,887870,LE,A00,TuTh,11:00a-12:20p,OTRSN,1S113,56
MGT-103,887871,LE,B00,TuTh,12:30p-1:50p,OTRSN,1S113,78
MGT-103,887872,LE,C00,TuTh,2:00p-3:20p,OTRSN,1S114,79
MGT-103,887873,LE,D00,TuTh,3:30p-4:50p,OTRSN,1S114,66
MGT-103,897928,LE,E00,MW,8:00a-9:20a,OTRSN,1S114,55
MGT-103,897929,LE,F00,MW,9:30a-10:50a,OTRSN,1S114,78
MGT-103,897930,LE,G00,Th,6:30p-9:20p,OTRSN,1S113,42
MGT-103,897931,LE,H00,W,2:00p-4:50p,OTRSN,1S113,52
CSE-134B,896409,LE,A00,MWF,8:00a-8:50a,YORK,2622,160
LATI-222B,,LE,A00,Th,1:00p-3:50p,ERCA,115,0
