building_tag,longitude,latitude,day,hour,students_number
YORK,32.874554,-117.240005,M,12,309
WFH,32.886956,-117.241839,M,10,0
SEQUO,32.882173,-117.240561,M,09,35
BONN,32.875415,-117.240332,Th,11,19
CENTR,32.877773,-117.237262,W,12,1578
SME,32.87989,-117.233139,M,14,41
WLH,32.880558,-117.234319,Tu,19,437
MCGIL,32.879049,-117.242043,Th,16,49
CPMC,32.877962,-117.234429,Tu,09,163
MCC,32.88156,-117.24028,W,16,20
ECON,32.875323,-117.2355,M,15,44
ECKRT,32.86716,-117.252589,M,15,47
APM,32.879039,-117.241028,M,13,157
OTRSN,32.88662,-117.241109,M,14,33
CENTR,32.877773,-117.237262,Tu,17,760
CPMC,32.877962,-117.234429,Th,09,163
CPMC,32.877962,-117.234429,Th,13,25
TM102,32.881485,-117.23968,Tu,13,23
CENTR,32.877773,-117.237262,Tu,09,1670
RBC,32.884341,-117.240977,Tu,14,48
WLH,32.880558,-117.234319,F,16,612
MYR-A,32.875268,-117.240194,Th,11,14
OTRSN,32.88662,-117.241109,W,14,67
HSS,32.878391,-117.241665,Th,10,329
GH,32.873717,-117.240975,F,17,12
LIT,32.880495,-117.23385,F,13,48
CENTR,32.877773,-117.237262,M,13,1477
SOLIS,32.880931,-117.239798,Th,12,502
PCYNH,32.878422,-117.233767,W,07,65
APM,32.879039,-117.241028,Tu,12,264
NSB,32.875274,-117.242808,W,13,37
YORK,32.874554,-117.240005,W,11,533
SSB,32.883965,-117.240439,W,14,86
MCC,32.88156,-117.24028,F,15,7
MAYER,32.875322,-117.24019,Th,09,12
OTRSN,32.88662,-117.241109,Tu,17,63
CENTR,32.877773,-117.237262,F,10,1460
TM102,32.881485,-117.23968,Th,16,24
CMME,32.875561,-117.235448,Th,09,0
EBU3B,32.881835,-117.233523,Th,12,147
PACIF,32.87603,-117.242393,Tu,13,27
YORK,32.874554,-117.240005,Tu,20,39
WFH,32.886956,-117.241839,Tu,13,224
BIO,32.876028,-117.242219,Tu,13,18
PCYNH,32.878422,-117.233767,F,12,366
CSB,32.880547,-117.239444,Th,14,303
EBU2,32.881243,-117.233615,Tu,10,77
YORK,32.874554,-117.240005,Tu,12,304
YORK,32.874554,-117.240005,F,18,0
ECKRT,32.86716,-117.252589,Th,11,19
LEDDN,32.878867,-117.241695,Tu,08,100
VAUGN,32.865324,-117.252961,Tu,09,15
NSB,32.875274,-117.242808,Th,12,59
SEQUO,32.882173,-117.240561,M,08,36
LEDDN,32.878867,-117.241695,F,15,214
MAYER,32.875322,-117.24019,Tu,17,0
MANDE,32.877866,-117.239432,F,09,93
LEDDN,32.878867,-117.241695,Tu,16,199
SEQUO,32.882173,-117.240561,Tu,21,31
MCC,32.88156,-117.24028,Tu,18,22
VAF,32.87918,-117.234138,Tu,14,23
GH,32.873717,-117.240975,Th,10,264
PRICE,32.879733,-117.236191,F,11,317
SSB,32.883965,-117.240439,F,11,26
YORK,32.874554,-117.240005,Th,17,444
PFBH,32.881568,-117.234351,Tu,15,40
MANDE,32.877866,-117.239432,M,15,297
MCGIL,32.879049,-117.242043,F,12,28
RBC,32.884341,-117.240977,Tu,20,30
GH,32.873717,-117.240975,Tu,20,217
APM,32.879039,-117.241028,Th,15,201
BSB,32.875597,-117.236066,Th,11,60
SME,32.87989,-117.233139,Tu,13,42
WLH,32.880558,-117.234319,Th,20,286
GH,32.873717,-117.240975,Tu,18,338
BONN,32.875415,-117.240332,Tu,11,19
LEDDN,32.878867,-117.241695,M,18,118
BRF2,32.87448,-117.234951,F,10,27
LEDDN,32.878867,-117.241695,M,20,118
EBU3B,32.881835,-117.233523,W,10,221
CPMC,32.877962,-117.234429,W,16,41
TM102,32.881485,-117.23968,W,12,33
ASANT,32.884082,-117.241912,Tu,15,84
APM,32.879039,-117.241028,M,09,104
VAF,32.87918,-117.234138,F,12,22
CSB,32.880547,-117.239444,Tu,08,149
MANDE,32.877866,-117.239432,W,14,391
CPMC,32.877962,-117.234429,Tu,17,25
WFH,32.886956,-117.241839,M,19,131
PCYNH,32.878422,-117.233767,Tu,13,327
RBC,32.884341,-117.240977,W,14,297
PFBH,32.881568,-117.234351,M,14,35
BONN,32.875415,-117.240332,Th,18,0
SME,32.87989,-117.233139,W,12,96
MAYER,32.875322,-117.24019,Tu,13,9
ERCA,32.886146,-117.242029,Th,13,8
SSB,32.883965,-117.240439,Tu,17,7
CMME,32.875561,-117.235448,F,10,0
MCC,32.88156,-117.24028,M,10,29
SEQUO,32.882173,-117.240561,Th,09,81
PETER,32.880013,-117.240351,M,09,637
RBC,32.884341,-117.240977,M,13,21
PRICE,32.879733,-117.236191,Th,09,0
PETER,32.880013,-117.240351,Tu,08,747
VAUGN,32.865324,-117.252961,W,14,7
CSB,32.880547,-117.239444,M,15,233
RBC,32.884341,-117.240977,Th,12,202
CENTR,32.877773,-117.237262,Tu,18,911
MANDE,32.877866,-117.239432,Th,14,313
CSB,32.880547,-117.239444,W,15,271
BSB,32.875597,-117.236066,Tu,12,60
LIT,32.880495,-117.23385,M,10,14
HSS,32.878391,-117.241665,Tu,10,330
CSB,32.880547,-117.239444,Tu,10,208
CENTR,32.877773,-117.237262,Tu,20,431
MANDE,32.877866,-117.239432,F,17,0
SOLIS,32.880931,-117.239798,M,13,226
LEDDN,32.878867,-117.241695,Th,09,131
HSS,32.878391,-117.241665,W,11,407
EBU1,32.881659,-117.235623,W,09,0
GH,32.873717,-117.240975,M,12,244
HUBBS,32.867457,-117.253423,M,15,18
SOLIS,32.880931,-117.239798,W,09,550
CENTR,32.877773,-117.237262,W,20,276
PETER,32.880013,-117.240351,W,18,655
SOLIS,32.880931,-117.239798,Th,19,0
CENTR,32.877773,-117.237262,Th,17,778
YORK,32.874554,-117.240005,W,18,179
SSB,32.883965,-117.240439,Th,14,10
LEDDN,32.878867,-117.241695,Th,20,70
APM,32.879039,-117.241028,W,14,128
CSB,32.880547,-117.239444,Th,15,304
GH,32.873717,-117.240975,W,16,393
MAYER,32.875322,-117.24019,Th,17,0
YORK,32.874554,-117.240005,F,11,508
WFH,32.886956,-117.241839,Th,18,87
OTRSN,32.88662,-117.241109,F,17,0
WLH,32.880558,-117.234319,F,08,421
WFH,32.886956,-117.241839,Th,16,120
SOLIS,32.880931,-117.239798,Tu,12,502
EBU2,32.881243,-117.233615,Th,09,53
VAF,32.87918,-117.234138,W,15,18
MET,32.875344,-117.234821,W,11,0
PCYNH,32.878422,-117.233767,W,09,141
ECON,32.875323,-117.2355,Th,14,41
PCYNH,32.878422,-117.233767,M,14,429
PFBH,32.881568,-117.234351,W,14,127
HSS,32.878391,-117.241665,F,10,266
OTRSN,32.88662,-117.241109,Tu,19,27
IGPP,32.868349,-117.252952,Th,12,9
SME,32.87989,-117.233139,Th,10,17
PCYNH,32.878422,-117.233767,F,08,241
ASANT,32.884082,-117.241912,Th,15,22
SSB,32.883965,-117.240439,M,10,29
SOLIS,32.880931,-117.239798,F,10,233
SEQUO,32.882173,-117.240561,W,13,76
PRICE,32.879733,-117.236191,W,11,317
CSB,32.880547,-117.239444,W,20,32
VAF,32.87918,-117.234138,M,09,25
CPMC,32.877962,-117.234429,F,15,10
MAYER,32.875322,-117.24019,M,10,9
VAUGN,32.865324,-117.252961,Th,10,15
GH,32.873717,-117.240975,Tu,11,194
LEDDN,32.878867,-117.241695,M,11,186
PETER,32.880013,-117.240351,M,17,593
LIT,32.880495,-117.23385,Tu,09,15
EBU3B,32.881835,-117.233523,W,19,61
PFBH,32.881568,-117.234351,M,08,20
ASANT,32.884082,-117.241912,W,14,55
UREY,32.875569,-117.241055,Th,13,8
PFBH,32.881568,-117.234351,F,17,29
PETER,32.880013,-117.240351,Th,16,781
MCGIL,32.879049,-117.242043,F,09,50
MCGIL,32.879049,-117.242043,W,11,93
WFH,32.886956,-117.241839,Th,19,87
TM102,32.881485,-117.23968,F,11,17
PRICE,32.879733,-117.236191,M,09,317
BONN,32.875415,-117.240332,W,16,0
SEQUO,32.882173,-117.240561,F,10,27
CPMC,32.877962,-117.234429,M,11,155
CENTR,32.877773,-117.237262,W,09,1391
PCYNH,32.878422,-117.233767,Th,08,399
EBU2,32.881243,-117.233615,F,12,22
BRF2,32.87448,-117.234951,M,14,10
OTRSN,32.88662,-117.241109,Tu,21,0
EBU3B,32.881835,-117.233523,Tu,18,13
VAF,32.87918,-117.234138,Th,12,35
LIT,32.880495,-117.23385,W,09,15
MAYER,32.875322,-117.24019,W,09,9
SOLIS,32.880931,-117.239798,M,16,425
WFH,32.886956,-117.241839,W,14,234
PFBH,32.881568,-117.234351,Th,11,0
ASANT,32.884082,-117.241912,F,09,16
HUBBS,32.867457,-117.253423,W,13,54
SEQUO,32.882173,-117.240561,Th,20,59
RBC,32.884341,-117.240977,Th,21,39
MCGIL,32.879049,-117.242043,Tu,14,44
RBC,32.884341,-117.240977,Tu,11,186
CCC,32.879661,-117.236447,Tu,11,10
TM102,32.881485,-117.23968,M,14,32
DANCE,32.871733,-117.24019,Tu,12,8
MCC,32.88156,-117.24028,Tu,17,42
MNDLR,32.879312,-117.242139,M,12,10
SEQUO,32.882173,-117.240561,F,12,32
ECKRT,32.86716,-117.252589,Tu,11,19
LIT,32.880495,-117.23385,F,10,14
PCYNH,32.878422,-117.233767,Th,15,521
WLH,32.880558,-117.234319,Tu,13,740
CENTR,32.877773,-117.237262,W,17,1300
WLH,32.880558,-117.234319,M,08,474
WLH,32.880558,-117.234319,Tu,16,823
SME,32.87989,-117.233139,F,15,39
MCC,32.88156,-117.24028,W,11,62
LEDDN,32.878867,-117.241695,Th,17,216
EBU3B,32.881835,-117.233523,M,17,46
OTRSN,32.88662,-117.241109,M,19,58
MANDE,32.877866,-117.239432,Tu,19,148
CSB,32.880547,-117.239444,F,15,159
OTRSN,32.88662,-117.241109,F,18,0
BIO,32.876028,-117.242219,W,15,40
MYR-A,32.875268,-117.240194,Th,16,0
NSB,32.875274,-117.242808,F,14,40
MNDLR,32.879312,-117.242139,W,18,26
VAF,32.87918,-117.234138,M,13,37
NSB,32.875274,-117.242808,M,09,0
CENTR,32.877773,-117.237262,M,18,1555
SPIES,32.869081,-117.251015,Tu,12,12
HUBBS,32.867457,-117.253423,F,16,25
APM,32.879039,-117.241028,Tu,15,212
NSB,32.875274,-117.242808,W,16,41
ECON,32.875323,-117.2355,W,14,10
PCYNH,32.878422,-117.233767,W,19,207
MCC,32.88156,-117.24028,F,12,21
IGPP,32.868349,-117.252952,W,09,15
OTRSN,32.88662,-117.241109,Tu,12,146
EBU3B,32.881835,-117.233523,Th,10,120
TM102,32.881485,-117.23968,Th,13,23
ECON,32.875323,-117.2355,Tu,13,1
GH,32.873717,-117.240975,Th,12,347
BIO,32.876028,-117.242219,Tu,16,16
EBU3B,32.881835,-117.233523,F,13,0
YORK,32.874554,-117.240005,Tu,19,391
SEQUO,32.882173,-117.240561,Tu,14,71
PETER,32.880013,-117.240351,F,12,611
SEQUO,32.882173,-117.240561,W,20,24
OTRSN,32.88662,-117.241109,Th,14,146
LEDDN,32.878867,-117.241695,Tu,13,203
SOLIS,32.880931,-117.239798,M,08,276
YORK,32.874554,-117.240005,Tu,09,460
MAYER,32.875322,-117.24019,W,13,0
MYR-A,32.875268,-117.240194,M,13,42
NSB,32.875274,-117.242808,Tu,10,76
RBC,32.884341,-117.240977,F,10,29
YORK,32.874554,-117.240005,Th,10,71
MYR-A,32.875268,-117.240194,Tu,14,34
YORK,32.874554,-117.240005,Th,09,458
MANDE,32.877866,-117.239432,M,10,275
IGPP,32.868349,-117.252952,Tu,12,9
CENTR,32.877773,-117.237262,Th,09,1670
APM,32.879039,-117.241028,Th,12,192
MCGIL,32.879049,-117.242043,Th,09,61
UREY,32.875569,-117.241055,Tu,13,8
BONN,32.875415,-117.240332,Tu,12,0
SME,32.87989,-117.233139,Tu,14,61
MCC,32.88156,-117.24028,Th,16,43
EBU3B,32.881835,-117.233523,Tu,17,13
CSB,32.880547,-117.239444,W,13,98
BRF2,32.87448,-117.234951,F,15,8
SOLIS,32.880931,-117.239798,Tu,20,93
BRF2,32.87448,-117.234951,F,13,9
CPMC,32.877962,-117.234429,W,13,86
CENTR,32.877773,-117.237262,Tu,07,181
CSB,32.880547,-117.239444,Tu,13,121
SSRB,32.880687,-117.240153,Tu,09,26
PETER,32.880013,-117.240351,Tu,16,781
MYR-A,32.875268,-117.240194,W,12,23
SEQUO,32.882173,-117.240561,Th,17,68
SSRB,32.880687,-117.240153,Th,13,9
WLH,32.880558,-117.234319,W,10,782
CPMC,32.877962,-117.234429,Tu,12,196
EBU1,32.881659,-117.235623,M,12,10
YORK,32.874554,-117.240005,M,16,88
WFH,32.886956,-117.241839,M,14,234
PCYNH,32.878422,-117.233767,Tu,16,292
BONN,32.875415,-117.240332,Th,15,0
PCYNH,32.878422,-117.233767,F,16,234
NSB,32.875274,-117.242808,M,12,6
ERCA,32.886146,-117.242029,Th,14,8
EBU2,32.881243,-117.233615,W,13,90
MCC,32.88156,-117.24028,M,17,61
LEDDN,32.878867,-117.241695,Th,18,216
MNDLR,32.879312,-117.242139,Th,11,42
RBC,32.884341,-117.240977,M,16,63
ECKRT,32.86716,-117.252589,M,11,8
APM,32.879039,-117.241028,M,17,193
OTRSN,32.88662,-117.241109,M,10,75
WLH,32.880558,-117.234319,M,20,638
CENTR,32.877773,-117.237262,Tu,13,1565
SME,32.87989,-117.233139,W,17,60
CSB,32.880547,-117.239444,W,12,304
CPMC,32.877962,-117.234429,Th,17,94
TM102,32.881485,-117.23968,Tu,17,23
EBU2,32.881243,-117.233615,Th,17,90
HSS,32.878391,-117.241665,Tu,17,369
WLH,32.880558,-117.234319,F,12,748
GH,32.873717,-117.240975,Th,15,417
OTRSN,32.88662,-117.241109,W,10,75
OTRSN,32.88662,-117.241109,F,09,0
SOLIS,32.880931,-117.239798,Th,16,372
HSS,32.878391,-117.241665,M,14,363
HUBBS,32.867457,-117.253423,Tu,14,24
GH,32.873717,-117.240975,F,21,12
PCYNH,32.878422,-117.233767,W,10,447
