building_tag,longitude,latitude,day,hour,students_number
WFH,32.886956,-117.241839,M,10,42
OTRSN,32.88662,-117.241109,F,13,0
PCYNH,32.878422,-117.233767,M,12,0
PCYNH,32.878422,-117.233767,W,09,32
HSS,32.878391,-117.241665,F,12,23
PCYNH,32.878422,-117.233767,W,18,15
WFH,32.886956,-117.241839,Th,12,48
HUBBS,32.867457,-117.253423,M,09,23
PCYNH,32.878422,-117.233767,Tu,14,36
HUBBS,32.867457,-117.253423,Th,09,23
PCYNH,32.878422,-117.233767,M,14,62
APM,32.879039,-117.241028,Th,09,22
HSS,32.878391,-117.241665,F,10,23
OTRSN,32.88662,-117.241109,Tu,19,0
WFH,32.886956,-117.241839,Th,10,48
HUBBS,32.867457,-117.253423,Tu,09,23
PCYNH,32.878422,-117.233767,Tu,16,0
APM,32.879039,-117.241028,M,11,22
HUBBS,32.867457,-117.253423,F,15,23
OTRSN,32.88662,-117.241109,W,21,0
NIERN,32.868487,-117.251196,Th,10,12
PCYNH,32.878422,-117.233767,F,14,32
HUBBS,32.867457,-117.253423,M,11,23
WFH,32.886956,-117.241839,M,16,16
PCYNH,32.878422,-117.233767,Tu,10,36
ECKRT,32.86716,-117.252589,M,15,12
HUBBS,32.867457,-117.253423,F,13,23
HUBBS,32.867457,-117.253423,F,09,23
HSS,32.878391,-117.241665,W,09,23
PSB,32.874227,-117.235699,W,10,0
WFH,32.886956,-117.241839,M,18,16
MCGIL,32.879049,-117.242043,Tu,11,19
PCYNH,32.878422,-117.233767,Tu,12,0
ECKRT,32.86716,-117.252589,M,13,12
HUBBS,32.867457,-117.253423,F,11,23
APM,32.879039,-117.241028,F,11,22
ECKRT,32.86716,-117.252589,Th,14,12
HUBBS,32.867457,-117.253423,Th,14,23
OTRSN,32.88662,-117.241109,Th,20,0
PCYNH,32.878422,-117.233767,M,19,15
PCYNH,32.878422,-117.233767,M,15,79
OTRSN,32.88662,-117.241109,Th,21,0
ECKRT,32.86716,-117.252589,F,14,12
HSS,32.878391,-117.241665,Th,10,23
APM,32.879039,-117.241028,Tu,10,22
PSB,32.874227,-117.235699,W,11,0
WFH,32.886956,-117.241839,F,10,0
APM,32.879039,-117.241028,Tu,09,22
NIERN,32.868487,-117.251196,W,10,12
PCYNH,32.878422,-117.233767,Tu,18,0
NIERN,32.868487,-117.251196,Tu,10,12
NIERN,32.868487,-117.251196,W,09,12
APM,32.879039,-117.241028,Tu,12,22
OTRSN,32.88662,-117.241109,Tu,18,0
ECKRT,32.86716,-117.252589,Th,15,12
MCGIL,32.879049,-117.242043,F,09,19
HSS,32.878391,-117.241665,Th,09,23
MCGIL,32.879049,-117.242043,W,11,19
MCGIL,32.879049,-117.242043,M,11,19
HUBBS,32.867457,-117.253423,Th,10,23
OTRSN,32.88662,-117.241109,M,18,0
PCYNH,32.878422,-117.233767,W,12,0
PSB,32.874227,-117.235699,W,08,0
HSS,32.878391,-117.241665,W,12,23
WLH,32.880558,-117.234319,M,11,29
HUBBS,32.867457,-117.253423,Tu,14,23
HSS,32.878391,-117.241665,Tu,11,23
PCYNH,32.878422,-117.233767,W,10,32
OTRSN,32.88662,-117.241109,W,20,0
PSB,32.874227,-117.235699,F,10,0
HSS,32.878391,-117.241665,M,12,23
APM,32.879039,-117.241028,W,11,22
PSB,32.874227,-117.235699,Tu,09,0
HUBBS,32.867457,-117.253423,W,15,23
HSS,32.878391,-117.241665,W,10,23
PSB,32.874227,-117.235699,Tu,10,0
