building_tag,longitude,latitude,day,hour,students_number
YORK,32.874554,-117.240005,M,12,60
WFH,32.886956,-117.241839,M,10,0
SERF,32.879664,-117.235105,Th,13,27
BONN,32.875415,-117.240332,Th,11,0
CENTR,32.877773,-117.237262,W,12,1376
SME,32.87989,-117.233139,M,14,35
NIERN,32.868487,-117.251196,Th,16,15
WLH,32.880558,-117.234319,Tu,19,466
MCGIL,32.879049,-117.242043,Th,16,12
EBU2,32.881243,-117.233615,W,17,12
CPMC,32.877962,-117.234429,Tu,09,125
MCC,32.88156,-117.24028,W,16,38
APM,32.879039,-117.241028,M,13,32
OTRSN,32.88662,-117.241109,M,14,75
CENTR,32.877773,-117.237262,Tu,17,1144
CCC,32.879661,-117.236447,Th,09,19
CPMC,32.877962,-117.234429,Th,09,125
CPMC,32.877962,-117.234429,Th,13,293
TM102,32.881485,-117.23968,Tu,13,29
CENTR,32.877773,-117.237262,Tu,09,1405
LIT,32.880495,-117.23385,W,13,23
RBC,32.884341,-117.240977,Tu,14,45
WLH,32.880558,-117.234319,F,16,743
WFH,32.886956,-117.241839,Th,18,159
OTRSN,32.88662,-117.241109,W,14,68
HSS,32.878391,-117.241665,Th,10,337
GH,32.873717,-117.240975,F,17,226
PACIF,32.87603,-117.242393,W,09,0
CENTR,32.877773,-117.237262,M,13,1067
SOLIS,32.880931,-117.239798,Th,12,439
APM,32.879039,-117.241028,Tu,12,181
NSB,32.875274,-117.242808,W,13,0
YORK,32.874554,-117.240005,W,11,410
SSB,32.883965,-117.240439,W,14,91
MAYER,32.875322,-117.24019,Th,09,26
OTRSN,32.88662,-117.241109,Tu,17,78
WFH,32.886956,-117.241839,F,14,0
CENTR,32.877773,-117.237262,F,10,1048
TM102,32.881485,-117.23968,Th,16,36
EBU3B,32.881835,-117.233523,Th,12,41
CMME,32.875561,-117.235448,M,13,10
WFH,32.886956,-117.241839,Tu,13,171
BIO,32.876028,-117.242219,Tu,13,14
PCYNH,32.878422,-117.233767,F,12,319
CSB,32.880547,-117.239444,Th,14,192
EBU2,32.881243,-117.233615,Tu,10,76
YORK,32.874554,-117.240005,Tu,12,604
YORK,32.874554,-117.240005,F,18,0
GH,32.873717,-117.240975,M,08,216
IGPP,32.868349,-117.252952,Tu,12,2
LEDDN,32.878867,-117.241695,Tu,08,163
NSB,32.875274,-117.242808,Th,12,77
MET,32.875344,-117.234821,Tu,15,65
LEDDN,32.878867,-117.241695,F,15,188
MANDE,32.877866,-117.239432,F,09,136
ASANT,32.884082,-117.241912,F,12,47
LEDDN,32.878867,-117.241695,Tu,16,193
VAF,32.87918,-117.234138,Tu,14,18
EBU2,32.881243,-117.233615,M,14,70
GH,32.873717,-117.240975,Th,10,89
IGPP,32.868349,-117.252952,F,11,14
ECON,32.875323,-117.2355,F,15,7
PRICE,32.879733,-117.236191,F,11,475
SSB,32.883965,-117.240439,F,11,25
YORK,32.874554,-117.240005,Th,17,262
PFBH,32.881568,-117.234351,Tu,15,23
BONN,32.875415,-117.240332,M,12,26
MANDE,32.877866,-117.239432,M,15,305
MCGIL,32.879049,-117.242043,F,12,61
CMME,32.875561,-117.235448,M,15,11
RBC,32.884341,-117.240977,Tu,20,41
GH,32.873717,-117.240975,Tu,20,10
APM,32.879039,-117.241028,Th,15,204
SME,32.87989,-117.233139,Tu,13,80
GH,32.873717,-117.240975,Tu,18,225
BONN,32.875415,-117.240332,Tu,11,8
LEDDN,32.878867,-117.241695,M,18,216
GH,32.873717,-117.240975,W,21,10
TM102,32.881485,-117.23968,W,08,30
